FirstName,LastName,Email,Phone,Title,Company,Country,CreatedAt,LeadSource
Alice,Anderson,alice.anderson@company.com,+11234567890,Product Lead,Globaltech,United States,2025-03-19,Referral
Alice,Jones,alice.jones@business.co,+18005551212,Ceo,Air Inc,United States,2025-04-01,Website Visitor
Carol,,valid@example.com,,Vp Mktg,Example Corp,Ca,,Linkedin
Jack,Brown,jack.brown@business.co,,Nan,Example Corp,United States,2024-10-30,Linkedin
Carol,Martinez,carol.martinez@business.co,+11234567890,Marketing Manager,Company,Ca,2025-01-11,Linkedin
Alice,Lee,alice.lee@startup.io,,Sr. Eng,Example Corp,France,2025-05-12,Website Visitor
Ivy,Chen,ivy.chen@gmail.com,,Marketing Manager,Company,France,2025-05-07,Linkedin
Carol,Chen,carol.chen@gmail.com,,Cto,Air Inc,United Kingdom,2025-03-09,Website Visitor
Bob,Jones,bob.jones@example.com,+11234567890,Product Lead,Air.Inc,Nan,,Referral
,,missing-at-symbol.com,+18005551212,Vp Mktg,Nan,United States,,Linkedin
Jack,Smith,jack.smith@air.inc,,Sr. Eng,Acme Co,United States,2025-06-15,Website Visitor
Frank,Johnson,frank.johnson@yahoo.com,,Data Analyst,,Canada,2024-10-22,Website Visitor
Alice,Chen,alice.chen@startup.io,+11234567890,Designer,Globaltech,Nan,2025-02-15,Linkedin
Emily,Lee,emily.lee@business.co,+11234567890,Ceo,Nan,Nan,2025-01-26,Event
Grace,Martinez,grace.martinez@gmail.com,,Head Of Sales,Company,Canada,2024-11-11,Product Signup
Alice,Jones,alice.jones@gmail.com,+18005551212,Sr. Engineer,Nan,United Kingdom,2025-03-02,Website Visitor
Emily,Brown,emily.brown@startup.io,,Data Analyst,Startup.Io,Ca,2024-10-18,Referral
Emily,Jones,emily.jones@business.co,,Sr. Engineer,Air Inc,Germany,2025-03-27,Event
Henry,Chen,henry.chen@gmail.com,+11234567890,Cto,Acme Co,Germany,2024-08-20,Website Visitor
Alice,Smith,emilychen@yahoo,,Nan,Air.Inc,Nan,,Linkedin
Bob,Wilson,bob.wilson@company.com,+18005551212,Data Analyst,,India,2025-06-14,Linkedin
Bob,Wilson,bob.wilson@business.co,+18005551212,Head Of Sales,Air.Inc,Germany,2025-05-15,Linkedin
Bob,Lee,bob.lee@business.co,+18005551212,Head Of Sales,Globaltech,Canada,2024-09-13,Product Signup
Jack,Brown,jack.brown@company.com,,Data Analyst,Initech,France,2025-03-16,Event
