full_name_raw,first_name_norm,last_name_norm,email_raw,email_lower,email_valid,phone_raw,phone_norm,title_raw,title_norm,company_raw,company_norm,country_raw,country_norm,created_at_raw,created_at_parsed,source_raw,source_norm
Alice Anderson,Alice,Anderson,alice.anderson@company.com,alice.anderson@company.com,True,(123) 456-7890,+11234567890,Product Lead,Product Lead,GlobalTech,Globaltech,United States,United States,19-Mar-2025,2025-03-19,Referral,Referral
Alice Jones,Alice,Jones,alice.jones@business.co,alice.jones@business.co,True,+1 800 555 1212,+18005551212,CEO,Ceo,Air Inc,Air Inc,US,United States,2025-04-01,2025-04-01,Website Visitor,Website Visitor
carol,Carol,,valid@example.com,valid@example.com,True,call me,,VP Mktg,Vp Mktg,example corp,Example Corp,CA,Ca,,,LinkedIn,Linkedin
Jack Brown,Jack,Brown,jack.brown@business.co,jack.brown@business.co,True,5551212,,nan,Nan,example corp,Example Corp,US,United States,2024-10-30,2024-10-30,LinkedIn,Linkedin
Carol Martinez,Carol,Martinez,carol.martinez@business.co,carol.martinez@business.co,True,123-456-7890,+11234567890,Marketing Manager,Marketing Manager,COMPANY,Company,CA,Ca,2025-01-11,2025-01-11,LinkedIn,Linkedin
Alice Lee,Alice,Lee,alice.lee@startup.io,alice.lee@startup.io,True,call me,,Sr. Eng,Sr. Eng,example corp,Example Corp,France,France,12-May-2025,2025-05-12,Website Visitor,Website Visitor
Ivy Chen,Ivy,Chen,ivy.chen@gmail.com,ivy.chen@gmail.com,True,call me,,Marketing Manager,Marketing Manager,COMPANY,Company,France,France,05/07/2025,2025-05-07,LinkedIn,Linkedin
Carol Chen,Carol,Chen,carol.chen@gmail.com,carol.chen@gmail.com,True,call me,,CTO,Cto,Air Inc,Air Inc,UK,United Kingdom,2025-03-09,2025-03-09,Website Visitor,Website Visitor
BOB JONES,Bob,Jones,bob.jones@Example.Com,bob.jones@example.com,True,(123) 456-7890,+11234567890,product lead  ,Product Lead,Air.Inc,Air.Inc,nan,Nan,12 days ago,,Referral,Referral
   ,,,missing-at-symbol.com,missing-at-symbol.com,False,+1 800 555 1212,+18005551212,VP Mktg,Vp Mktg,nan,Nan,usa,United States,3 days ago,,linkedin,Linkedin
Jack Smith,Jack,Smith,jack.smith@air.inc,jack.smith@air.inc,True,call me,,Sr. Eng,Sr. Eng,Acme Co,Acme Co,United States,United States,15-Jun-2025,2025-06-15,Website Visitor,Website Visitor
Frank Johnson,Frank,Johnson,frank.johnson@yahoo.com,frank.johnson@yahoo.com,True,5551212,,Data Analyst,Data Analyst,   ,,Canada,Canada,2024-10-22,2024-10-22,Website Visitor,Website Visitor
Alice Chen,Alice,Chen,alice.chen@startup.io,alice.chen@startup.io,True,123-456-7890,+11234567890,Designer,Designer,GlobalTech,Globaltech,nan,Nan,02/15/2025,2025-02-15,LinkedIn,Linkedin
Emily Lee,Emily,Lee,emily.lee@business.co,emily.lee@business.co,True,123-456-7890,+11234567890,CEO,Ceo,nan,Nan,nan,Nan,01/26/2025,2025-01-26,Event,Event
Grace Martinez,Grace,Martinez,grace.martinez@gmail.com,grace.martinez@gmail.com,True,call me,,head of sales,Head Of Sales,COMPANY,Company,Canada,Canada,11/11/2024,2024-11-11,Product Signup,Product Signup
Alice Jones,Alice,Jones,alice.jones@gmail.com,alice.jones@gmail.com,True,+1 800 555 1212,+18005551212,Sr. Engineer,Sr. Engineer,nan,Nan,UK,United Kingdom,02-Mar-2025,2025-03-02,Website Visitor,Website Visitor
Emily Brown,Emily,Brown,emily.brown@startup.io,emily.brown@startup.io,True,call me,,Data Analyst,Data Analyst,Startup.io,Startup.Io,CA,Ca,10/18/2024,2024-10-18,Referral,Referral
Emily Jones,Emily,Jones,emily.jones@business.co,emily.jones@business.co,True,nan,,Sr. Engineer,Sr. Engineer,Air Inc,Air Inc,Germany,Germany,27-Mar-2025,2025-03-27,Event,Event
Henry Chen,Henry,Chen,henry.chen@gmail.com,henry.chen@gmail.com,True,(123) 456-7890,+11234567890,CTO,Cto,Acme Co,Acme Co,Germany,Germany,20-Aug-2024,2024-08-20,Website Visitor,Website Visitor
  alice smith,Alice,Smith,emilychen@yahoo,emilychen@yahoo,False,5551212,,nan,Nan,Air.Inc,Air.Inc,nan,Nan,8 days ago,,LinkedIn,Linkedin
Bob Wilson,Bob,Wilson,bob.wilson@company.com,bob.wilson@company.com,True,+1 800 555 1212,+18005551212,Data Analyst,Data Analyst,   ,,India,India,2025-06-14,2025-06-14,LinkedIn,Linkedin
Bob Wilson,Bob,Wilson,bob.wilson@business.co,bob.wilson@business.co,True,+1 800 555 1212,+18005551212,head of sales,Head Of Sales,Air.Inc,Air.Inc,Germany,Germany,15-May-2025,2025-05-15,LinkedIn,Linkedin
Bob Lee,Bob,Lee,bob.lee@business.co,bob.lee@business.co,True,+1 800 555 1212,+18005551212,Head of Sales,Head Of Sales,GlobalTech,Globaltech,Canada,Canada,2024-09-13,2024-09-13,Product Signup,Product Signup
Jack Brown,Jack,Brown,jack.brown@company.com,jack.brown@company.com,True,5551212,,Data Analyst,Data Analyst,Initech,Initech,France,France,03/16/2025,2025-03-16,Event,Event
Emily Chen,Emily,Chen,emily.chen@gmail.com,emily.chen@gmail.com,True,(123) 456-7890,+11234567890,product lead  ,Product Lead,GlobalTech,Globaltech,US,United States,28-Oct-2024,2024-10-28,Referral,Referral
Frank Anderson,Frank,Anderson,frank.anderson@yahoo.com,frank.anderson@yahoo.com,True,nan,,Sr. Engineer,Sr. Engineer,   ,,India,India,2025-08-14,2025-08-14,LinkedIn,Linkedin
Jack Chen,Jack,Chen,jack.chen@company.com,jack.chen@company.com,True,+1 800 555 1212,+18005551212,VP Mktg,Vp Mktg,   ,,Canada,Canada,08-Feb-2025,2025-02-08,Website Visitor,Website Visitor
Grace Martinez,Grace,Martinez,grace.martinez@gmail.com,grace.martinez@gmail.com,True,123-456-7890,+11234567890,CTO,Cto,example corp,Example Corp,United States,United States,07/03/2025,2025-07-03,Product Signup,Product Signup
Alice Johnson,Alice,Johnson,alice.johnson@gmail.com,alice.johnson@gmail.com,True,5551212,,Software Engineer,Software Engineer,nan,Nan,Canada,Canada,2025-06-25,2025-06-25,Referral,Referral
David Chen,David,Chen,david.chen@business.co,david.chen@business.co,True,nan,,Sr. Engineer,Sr. Engineer,Acme Co,Acme Co,United States,United States,04-Feb-2025,2025-02-04,Event,Event
Grace Johnson,Grace,Johnson,grace.johnson@gmail.com,grace.johnson@gmail.com,True,123-456-7890,+11234567890,Product Lead,Product Lead,   ,,nan,Nan,2025-06-03,2025-06-03,Referral,Referral
Henry Lee,Henry,Lee,henry.lee@yahoo.com,henry.lee@yahoo.com,True,+1 800 555 1212,+18005551212,Head of Sales,Head Of Sales,Umbrella Corp,Umbrella Corp,UK,United Kingdom,2025-03-04,2025-03-04,Website Visitor,Website Visitor
David Smith,David,Smith,david.smith@business.co,david.smith@business.co,True,nan,,VP Marketing,Vp Marketing,Air Inc,Air Inc,Germany,Germany,20-Aug-2024,2024-08-20,Website Visitor,Website Visitor
Bob Martinez,Bob,Martinez,bob.martinez@startup.io,bob.martinez@startup.io,True,+1 800 555 1212,+18005551212,Head of Sales,Head Of Sales,Acme Co,Acme Co,UK,United Kingdom,2025-02-25,2025-02-25,LinkedIn,Linkedin
Alice Chen,Alice,Chen,alice.chen@startup.io,alice.chen@startup.io,True,nan,,product lead  ,Product Lead,Acme Co,Acme Co,United States,United States,02-Apr-2025,2025-04-02,Website Visitor,Website Visitor
Henry Brown,Henry,Brown,henry.brown@company.com,henry.brown@company.com,True,call me,,CEO,Ceo,Initech,Initech,US,United States,2025-06-03,2025-06-03,Referral,Referral
Jack Wilson,Jack,Wilson,jack.wilson@air.inc,jack.wilson@air.inc,True,+1 800 555 1212,+18005551212,Designer,Designer,nan,Nan,nan,Nan,2025-01-28,2025-01-28,Website Visitor,Website Visitor
Ivy Anderson,Ivy,Anderson,ivy.anderson@startup.io,ivy.anderson@startup.io,True,5551212,,Data Analyst,Data Analyst,Initech,Initech,Germany,Germany,19-Oct-2024,2024-10-19,Product Signup,Product Signup
Emily Chen,Emily,Chen,emily.chen@yahoo.com,emily.chen@yahoo.com,True,call me,,VP Mktg,Vp Mktg,Startup.io,Startup.Io,France,France,2025-05-18,2025-05-18,Website Visitor,Website Visitor
Emily Smith,Emily,Smith,emily.smith@air.inc,emily.smith@air.inc,True,123-456-7890,+11234567890,Data Analyst,Data Analyst,Air.Inc,Air.Inc,US,United States,05/10/2025,2025-05-10,Referral,Referral
Ivy Martinez,Ivy,Martinez,ivy.martinez@gmail.com,ivy.martinez@gmail.com,True,5551212,,Designer,Designer,nan,Nan,Canada,Canada,2024-10-07,2024-10-07,Website Visitor,Website Visitor
Carol Taylor,Carol,Taylor,carol.taylor@business.co,carol.taylor@business.co,True,(123) 456-7890,+11234567890,VP Marketing,Vp Marketing,GlobalTech,Globaltech,CA,Ca,2025-07-11,2025-07-11,Website Visitor,Website Visitor
Grace Martinez,Grace,Martinez,grace.martinez@company.com,grace.martinez@company.com,True,(123) 456-7890,+11234567890,Product Lead,Product Lead,Initech,Initech,nan,Nan,09-Jul-2025,2025-07-09,Website Visitor,Website Visitor
   ,,,emilychen@yahoo,emilychen@yahoo,False,nan,,Sr. Eng,Sr. Eng,Air.Inc,Air.Inc,CA,Ca,9 days ago,,Website Visitor,Website Visitor
   ,,,carol@,carol@,False,+1 800 555 1212,+18005551212,head of sales,Head Of Sales,example corp,Example Corp,usa,United States,17 days ago,,linkedin,Linkedin
Jack Jones,Jack,Jones,jack.jones@business.co,jack.jones@business.co,True,(123) 456-7890,+11234567890,VP Mktg,Vp Mktg,Initech,Initech,India,India,01/06/2025,2025-01-06,Referral,Referral
Frank Anderson,Frank,Anderson,frank.anderson@company.com,frank.anderson@company.com,True,(123) 456-7890,+11234567890,CTO,Cto,Air.Inc,Air.Inc,US,United States,12/25/2024,2024-12-25,Referral,Referral
Emily Johnson,Emily,Johnson,emily.johnson@gmail.com,emily.johnson@gmail.com,True,nan,,Marketing Manager,Marketing Manager,nan,Nan,CA,Ca,09/22/2024,2024-09-22,Product Signup,Product Signup
Alice Johnson,Alice,Johnson,alice.johnson@yahoo.com,alice.johnson@yahoo.com,True,5551212,,VP Marketing,Vp Marketing,Acme Co,Acme Co,India,India,10/14/2024,2024-10-14,Website Visitor,Website Visitor
Bob Taylor,Bob,Taylor,bob.taylor@yahoo.com,bob.taylor@yahoo.com,True,nan,,Sr. Engineer,Sr. Engineer,example corp,Example Corp,CA,Ca,2025-07-02,2025-07-02,Referral,Referral
carol,Carol,,bob.jones@Example.Com,bob.jones@example.com,True,nan,,Sr. Eng,Sr. Eng,   ,,usa,United States,,,Website Visitor,Website Visitor
Emily Johnson,Emily,Johnson,emily.johnson@yahoo.com,emily.johnson@yahoo.com,True,+1 800 555 1212,+18005551212,CTO,Cto,Acme Co,Acme Co,nan,Nan,2024-09-28,2024-09-28,Product Signup,Product Signup
Frank Wilson,Frank,Wilson,frank.wilson@air.inc,frank.wilson@air.inc,True,+1 800 555 1212,+18005551212,Designer,Designer,COMPANY,Company,United States,United States,14-Oct-2024,2024-10-14,Website Visitor,Website Visitor
Bob Johnson,Bob,Johnson,bob.johnson@business.co,bob.johnson@business.co,True,call me,,nan,Nan,Initech,Initech,India,India,2025-03-31,2025-03-31,Referral,Referral
Henry Chen,Henry,Chen,henry.chen@company.com,henry.chen@company.com,True,call me,,Head of Sales,Head Of Sales,Startup.io,Startup.Io,France,France,08-Dec-2024,2024-12-08,Referral,Referral
Jack Wilson,Jack,Wilson,jack.wilson@gmail.com,jack.wilson@gmail.com,True,(123) 456-7890,+11234567890,Head of Sales,Head Of Sales,Air.Inc,Air.Inc,Germany,Germany,2025-02-02,2025-02-02,Event,Event
Carol Anderson,Carol,Anderson,carol.anderson@company.com,carol.anderson@company.com,True,5551212,,Product Lead,Product Lead,Air.Inc,Air.Inc,Germany,Germany,02/05/2025,2025-02-05,Website Visitor,Website Visitor
Carol Brown,Carol,Brown,carol.brown@startup.io,carol.brown@startup.io,True,nan,,Head of Sales,Head Of Sales,   ,,US,United States,2025-07-30,2025-07-30,Referral,Referral
Ivy Jones,Ivy,Jones,ivy.jones@air.inc,ivy.jones@air.inc,True,(123) 456-7890,+11234567890,product lead  ,Product Lead,Example Corp,Example Corp,Canada,Canada,13-May-2025,2025-05-13,Referral,Referral
Henry Brown,Henry,Brown,henry.brown@air.inc,henry.brown@air.inc,True,5551212,,Head of Sales,Head Of Sales,Initech,Initech,nan,Nan,2025-03-25,2025-03-25,Event,Event
Bob Brown,Bob,Brown,bob.brown@startup.io,bob.brown@startup.io,True,(123) 456-7890,+11234567890,CEO,Ceo,Air Inc,Air Inc,Germany,Germany,17-Apr-2025,2025-04-17,Website Visitor,Website Visitor
Carol Chen,Carol,Chen,carol.chen@company.com,carol.chen@company.com,True,(123) 456-7890,+11234567890,Software Engineer,Software Engineer,GlobalTech,Globaltech,Canada,Canada,22-Jul-2025,2025-07-22,LinkedIn,Linkedin
Jack Lee,Jack,Lee,jack.lee@company.com,jack.lee@company.com,True,nan,,CEO,Ceo,Air.Inc,Air.Inc,CA,Ca,06/29/2025,2025-06-29,Referral,Referral
Jack Wilson,Jack,Wilson,jack.wilson@yahoo.com,jack.wilson@yahoo.com,True,123-456-7890,+11234567890,Software Engineer,Software Engineer,Initech,Initech,United States,United States,09/14/2024,2024-09-14,LinkedIn,Linkedin
David Taylor,David,Taylor,david.taylor@air.inc,david.taylor@air.inc,True,123-456-7890,+11234567890,VP Marketing,Vp Marketing,Air.Inc,Air.Inc,United States,United States,11/04/2024,2024-11-04,Product Signup,Product Signup
Jack Chen,Jack,Chen,jack.chen@gmail.com,jack.chen@gmail.com,True,call me,,Sr. Engineer,Sr. Engineer,Example Corp,Example Corp,France,France,02/19/2025,2025-02-19,Referral,Referral
Bob Martinez,Bob,Martinez,bob.martinez@company.com,bob.martinez@company.com,True,(123) 456-7890,+11234567890,VP Mktg,Vp Mktg,GlobalTech,Globaltech,CA,Ca,2025-06-29,2025-06-29,Referral,Referral
Alice Chen,Alice,Chen,alice.chen@air.inc,alice.chen@air.inc,True,nan,,Sr. Engineer,Sr. Engineer,Acme Co,Acme Co,United States,United States,20-Aug-2024,2024-08-20,Product Signup,Product Signup
Emily Lee,Emily,Lee,emily.lee@startup.io,emily.lee@startup.io,True,nan,,CTO,Cto,   ,,Germany,Germany,01/30/2025,2025-01-30,LinkedIn,Linkedin
